Size,Threshold,Random,ReverseSorted,NearlySorted
5900,45,0.666,0.404,0.224
5900,50,0.693,0.598,0.216
6000,5,0.750,0.349,0.240
6000,10,0.708,0.343,0.246
6000,15,0.671,0.386,0.236
6000,20,0.705,0.354,0.237
6000,25,0.670,0.452,0.222
6000,30,0.654,0.413,0.224
6000,35,0.681,0.430,0.226
6000,40,0.652,0.414,0.227
6000,45,0.657,0.428,0.222
6000,50,0.699,0.568,0.227
6100,5,0.767,0.361,0.250
6100,10,0.714,0.345,0.251
6100,15,0.689,0.358,0.240
6100,20,0.783,0.358,0.240
6100,25,0.683,0.480,0.236
6100,30,0.665,0.429,0.228
6100,35,0.692,0.436,0.229
6100,40,0.682,0.430,0.231
6100,45,0.672,0.426,0.232
6100,50,0.704,0.594,0.219
6200,5,0.772,0.382,0.263
6200,10,0.720,0.349,0.289
6200,15,0.695,0.386,0.253
6200,20,0.681,0.411,0.253
6200,25,0.684,0.451,0.242
6200,30,0.670,0.436,0.324
6200,35,0.684,0.434,0.238
6200,40,0.669,0.482,0.338
6200,45,0.682,0.484,0.249
6200,50,0.716,0.601,0.237
6300,5,0.797,0.392,0.266
6300,10,0.747,0.377,0.275
6300,15,0.705,0.377,0.261
6300,20,0.747,0.422,0.262
6300,25,0.705,0.492,0.296
6300,30,0.703,0.499,0.305
6300,35,0.713,0.487,0.260
6300,40,0.724,0.464,0.257
6300,45,0.693,0.445,0.249
6300,50,0.806,0.614,0.256
6400,5,0.783,0.373,0.268
6400,10,0.807,0.378,0.264
6400,15,0.750,0.393,0.279
6400,20,0.906,0.413,0.258
6400,25,0.731,0.522,0.252
6400,30,0.724,0.487,0.303
6400,35,0.700,0.474,0.255
6400,40,0.738,0.506,0.259
6400,45,0.741,0.495,0.253
6400,50,0.765,0.740,0.269
6500,5,0.800,0.409,0.275
6500,10,0.771,0.384,0.376
6500,15,0.738,0.418,0.264
6500,20,0.748,0.405,0.269
6500,25,0.731,0.451,0.279
6500,30,0.770,0.480,0.260
6500,35,0.732,0.481,0.252
6500,40,0.739,0.471,0.255
6500,45,0.727,0.491,0.254
6500,50,0.756,0.561,0.256
6600,5,0.832,0.419,0.283
6600,10,0.793,0.394,0.288
6600,15,0.756,0.430,0.266
6600,20,0.768,0.418,0.264
6600,25,0.735,0.425,0.268
6600,30,0.755,0.486,0.268
6600,35,0.750,0.477,0.261
6600,40,0.761,0.487,0.251
6600,45,0.737,0.513,0.255
6600,50,0.722,0.509,0.260
6700,5,0.845,0.409,0.278
6700,10,0.796,0.459,0.286
6700,15,0.762,0.416,0.268
6700,20,0.755,0.428,0.294
6700,25,0.753,0.430,0.266
6700,30,0.734,0.502,0.258
6700,35,0.752,0.515,0.269
6700,40,0.758,0.518,0.264
6700,45,0.752,0.530,0.258
6700,50,0.779,0.520,0.272
6800,5,0.853,0.421,0.279
6800,10,0.810,0.414,0.279
6800,15,0.759,0.424,0.297
6800,20,0.791,0.439,0.270
6800,25,0.785,0.418,0.281
6800,30,0.806,0.592,0.289
6800,35,0.775,0.546,0.257
6800,40,0.779,0.512,0.273
6800,45,0.763,0.525,0.284
6800,50,0.768,0.534,0.254
6900,5,0.869,0.415,0.293
6900,10,0.823,0.426,0.288
6900,15,0.780,0.464,0.281
6900,20,0.807,0.448,0.279
6900,25,0.816,0.443,0.285
6900,30,0.769,0.526,0.267
6900,35,0.781,0.528,0.263
6900,40,0.776,0.519,0.263
6900,45,0.795,0.524,0.264
6900,50,0.786,0.544,0.261
7000,5,0.877,0.413,0.289
7000,10,0.844,0.431,0.297
7000,15,0.818,0.436,0.295
7000,20,0.833,0.443,0.283
7000,25,0.809,0.435,0.368
7000,30,0.791,0.532,0.270
7000,35,0.790,0.534,0.281
7000,40,0.788,0.552,0.304
7000,45,0.767,0.546,0.279
7000,50,0.796,0.522,0.269
7100,5,0.884,0.422,0.312
7100,10,0.833,0.456,0.291
7100,15,0.800,0.442,0.289
7100,20,0.795,0.438,0.283
7100,25,0.802,0.439,0.282
7100,30,0.814,0.540,0.275
7100,35,0.800,0.534,0.289
7100,40,0.807,0.534,0.336
7100,45,0.827,0.593,0.301
7100,50,0.829,0.707,0.332
7200,5,0.903,0.436,0.301
7200,10,0.852,0.419,0.301
7200,15,0.829,0.454,0.315
7200,20,0.820,0.454,0.300
7200,25,0.842,0.448,0.295
7200,30,0.812,0.719,0.380
7200,35,0.846,0.542,0.303
7200,40,0.916,0.581,0.279
7200,45,0.843,0.583,0.302
7200,50,0.805,0.580,0.280
7300,5,0.930,0.446,0.318
7300,10,0.884,0.419,0.304
7300,15,0.875,0.454,0.291
7300,20,0.847,0.455,0.315
7300,25,0.832,0.457,0.294
7300,30,0.812,0.625,0.295
7300,35,0.848,0.611,0.283
7300,40,0.852,0.569,0.282
7300,45,0.842,0.571,0.285
7300,50,0.857,0.588,0.312
7400,5,0.926,0.460,0.310
7400,10,0.926,0.432,0.315
7400,15,0.859,0.460,0.305
7400,20,0.850,0.478,0.303
7400,25,0.852,0.481,0.300
7400,30,0.862,0.618,0.299
7400,35,0.862,0.613,0.309
7400,40,0.819,0.637,0.289
7400,45,0.854,0.592,0.290
7400,50,0.866,0.561,0.290
7500,5,0.948,0.459,0.320
7500,10,0.932,0.443,0.328
7500,15,0.895,0.517,0.309
7500,20,0.878,0.495,0.351
7500,25,0.850,0.496,0.305
7500,30,0.878,0.612,0.315
7500,35,0.875,0.589,0.295
7500,40,0.893,0.572,0.290
7500,45,0.872,0.595,0.294
7500,50,0.843,0.581,0.290
7600,5,0.963,0.474,0.338
7600,10,0.896,0.477,0.351
7600,15,0.928,0.519,0.327
7600,20,0.860,0.518,0.306
7600,25,0.898,0.490,0.305
7600,30,0.905,0.587,0.291
7600,35,0.933,0.608,0.293
7600,40,0.887,0.605,0.321
7600,45,0.855,0.581,0.307
7600,50,0.904,0.597,0.292
7700,5,0.975,0.477,0.320
7700,10,0.953,0.464,0.334
7700,15,0.870,0.492,0.315
7700,20,0.903,0.499,0.350
7700,25,0.886,0.486,0.312
7700,30,0.902,0.587,0.304
7700,35,0.911,0.625,0.321
7700,40,0.939,0.607,0.301
7700,45,0.906,0.594,0.295
7700,50,0.876,0.602,0.295
7800,5,0.972,0.483,0.342
7800,10,0.961,0.480,0.333
7800,15,0.904,0.491,0.356
7800,20,0.912,0.513,0.318
7800,25,0.920,0.499,0.322
7800,30,0.882,0.546,0.312
7800,35,0.904,0.607,0.304
7800,40,0.881,0.604,0.312
7800,45,0.918,0.635,0.301
7800,50,0.889,0.627,0.303
7900,5,0.974,0.466,0.374
7900,10,0.944,0.476,0.357
7900,15,1.180,0.535,0.369
7900,20,0.966,0.524,0.335
7900,25,0.943,0.512,0.332
7900,30,0.912,0.537,0.334
7900,35,0.914,0.656,0.349
7900,40,0.961,0.635,0.329
7900,45,0.954,0.663,0.343
7900,50,0.925,0.649,0.319
8000,5,1.020,0.506,0.343
8000,10,0.977,0.493,0.349
8000,15,0.950,0.507,0.338
8000,20,0.963,0.541,0.334
8000,25,0.953,0.653,0.417
8000,30,0.964,0.548,0.331
8000,35,0.934,0.688,0.328
8000,40,0.924,0.715,0.331
8000,45,0.932,0.659,0.323
8000,50,0.948,0.684,0.322
8100,5,1.044,0.495,0.345
8100,10,1.011,0.484,0.347
8100,15,0.976,0.489,0.350
8100,20,0.940,0.588,0.357
8100,25,0.938,0.538,0.336
8100,30,0.930,0.553,0.334
8100,35,0.962,0.770,0.325
8100,40,0.954,0.662,0.375
8100,45,0.968,0.709,0.323
8100,50,0.978,0.673,0.323
8200,5,1.046,0.488,0.371
8200,10,0.993,0.498,0.356
8200,15,1.010,0.534,0.359
8200,20,0.966,0.538,0.342
8200,25,1.024,0.564,0.355
8200,30,0.978,0.536,0.342
8200,35,0.945,0.700,0.324
8200,40,0.948,0.671,0.327
8200,45,0.950,0.670,0.327
8200,50,0.953,0.687,0.336
8300,5,1.070,0.517,0.365
8300,10,1.026,0.510,0.357
8300,15,1.004,0.500,0.361
8300,20,0.967,0.548,0.352
8300,25,0.966,0.555,0.347
8300,30,0.986,0.567,0.364
8300,35,1.017,0.729,0.336
8300,40,0.994,0.685,0.333
8300,45,1.013,0.747,0.336
8300,50,1.012,0.836,0.335
8400,5,1.099,0.530,0.374
8400,10,1.015,0.522,0.395
8400,15,1.044,0.539,0.372
8400,20,0.999,0.559,0.344
8400,25,1.004,0.561,0.352
8400,30,1.017,0.587,0.345
8400,35,0.991,0.733,0.349
8400,40,1.001,0.698,0.344
8400,45,0.972,0.720,0.338
8400,50,0.993,0.738,0.339
8500,5,1.103,0.522,0.363
8500,10,1.069,0.551,0.368
8500,15,1.048,0.559,0.376
8500,20,1.036,0.569,0.348
8500,25,0.983,0.565,0.388
8500,30,1.001,0.576,0.371
8500,35,1.004,0.714,0.338
8500,40,1.002,0.703,0.415
8500,45,1.003,0.739,0.344
8500,50,1.033,0.714,0.338
8600,5,1.089,0.518,0.381
8600,10,1.059,0.535,0.376
8600,15,1.060,0.615,0.373
8600,20,1.002,0.583,0.365
8600,25,0.997,0.583,0.353
8600,30,1.024,0.773,0.423
8600,35,0.999,0.702,0.347
8600,40,0.982,0.729,0.351
8600,45,0.989,0.718,0.370
8600,50,0.984,0.720,0.340
